,Argument ID,Conclusion,Stance,Premise,Self-direction: thought,Self-direction: action,Stimulation,Hedonism,Achievement,Power: dominance,Power: resources,Face,Security: personal,Security: societal,Tradition,Conformity: rules,Conformity: interpersonal,Humility,Benevolence: caring,Benevolence: dependability,Universalism: concern,Universalism: nature,Universalism: tolerance,Universalism: objectivity
2,A01006,We must put an end to the use of economic sanctions.,against,Sometimes economic sanctions are the only thing that will allow corrupt governments to act,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,A01016,We should adopt gender-neutral language.,against,"We have two sexes, men and women, and they should be differentiated by the use of words.",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
11,A01018,We must put an end to the use of economic sanctions.,against,Economic sanctions are a non-military sanction to be applied to countries.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14,A02003,We should cancel the pride parades.,against,There are parades for each group and it's discrimination not to give gays their parade,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
21,A02011,We must fight for the abolition of nuclear weapons.,in favor of,"Nuclear weapons are too serious a threat to our world, and we must abolish them now.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
22,A02012,We should ban telemarketing.,in favor of,Telemarketing does not differentiate between those who are interested in calling and those who are not.,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23,A02013,We should ban prayer in school.,in favor of,Prayer at school cannot explain the range of beliefs or non-beliefs that students may have.,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
27,A02019,We should ban prayer in school.,in favor of,"Prayer at school is a source of division and demands that children undoubtedly support religion or be treated as different if they do not want to attend, which marks people by their differences at an early age.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
34,A03007,We should adopt gender-neutral language.,against,We should not have to change our language to accommodate those who do not adhere to a specific sex.,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
35,A03008,We should abolish zoos.,in favor of,We must abolish zoos because animals must not be kept in captivity and must be in a natural environment.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
